"y2_hhid","plotnum","plot_value","maize_price","maize_value","output_kg_old","output_kg_new","maize_share","crop_count","beans","cash_crop"
"102003003016101","M2",209120.370370371,323.734567901235,97120.3703703705,300,645.962436838593,46.4423289794111,2,FALSE,FALSE
"102003003017401","M1",798211.111111112,323.734567901235,699266.666666668,2160,2465.63447421108,87.6042261167333,2,FALSE,FALSE
"102003003017401","M2",559413.333333334,323.734567901235,559413.333333334,1728,1728,100,1,FALSE,FALSE
"102003003017401","M3",874083.333333334,323.734567901235,874083.333333334,2700,2700,100,1,FALSE,FALSE
"102003003017401","M5",2659560,323.734567901235,419560.000000001,1296,8215.24873677186,15.7755418189475,2,FALSE,FALSE
"102003003020001","M2",647469.13580247,323.734567901235,647469.13580247,2000,2000,100,1,FALSE,FALSE
"102003003043001","M1",NA,323.734567901235,129493.827160494,400,NA,NA,2,FALSE,FALSE
"102003003043001","M2",NA,323.734567901235,194240.740740741,600,NA,NA,2,FALSE,FALSE
"102003003043001","M3",64746.913580247,323.734567901235,64746.913580247,200,200,100,1,FALSE,FALSE
"102003003043001","M5",229686.810432957,323.734567901235,97120.3703703705,300,709.491148634552,42.2838256090106,2,TRUE,FALSE
"102003003043001","M6",64746.913580247,323.734567901235,64746.913580247,200,200,100,1,FALSE,FALSE
"102003003047901","M1",120101.058201058,323.734567901235,77696.2962962964,240,370.986203233319,64.6924327396241,2,FALSE,FALSE
"102003003047901","M2",148548.395061728,323.734567901235,103595.061728395,320,458.858613785871,69.7382571419549,2,FALSE,FALSE
"102017003001701","M1",242573.192239859,323.734567901235,129493.827160494,400,749.296541955518,53.3834039799621,3,FALSE,FALSE
"102017003004801","M2",1734846.2962963,323.734567901235,77696.2962962964,240,5358.85403756316,4.47856945379941,3,FALSE,FALSE
"102017003004801","M3",1348544.44444445,323.734567901235,116544.444444445,360,4165.58680522452,8.64223978116323,2,FALSE,FALSE
"103013004016101","M1",48560.1851851852,323.734567901235,48560.1851851852,150,150,100,1,FALSE,FALSE
"103013004021901","M2",58272.2222222223,323.734567901235,58272.2222222223,180,180,100,1,FALSE,FALSE
"103013004025901","M1",NA,323.734567901235,12949.3827160494,40,NA,NA,2,FALSE,FALSE
"103013004046801","M3",183108.333333334,323.734567901235,174816.666666667,540,565.612546477262,95.4717152869431,2,FALSE,FALSE
"103013004068501","M1",461473.456790123,323.734567901235,32373.4567901235,100,1425.46858613786,7.01523702258066,2,FALSE,FALSE
"103013004073901","M1",27558.8888888889,323.734567901235,23308.8888888889,72,85.128038897893,84.5784784098698,2,FALSE,FALSE
