"hhid","plotnum","hir.lab.days","fam.lab.days","area.est","area.gps","plot.dist","soil","soilq","eroscont","erosion","irrigation","slope","ownership","land.title","cultivate","pest","pest.kg","pest.unit","pest.type","pest.price","org.fert","org.fert.kg","org.fert.price","fert.type","fert","fert.kg","fert.price","N_share","P_share","K_share","nitrogen.kg","phosphorous.kg","potassium.kg","plot.value","maize.price","maize.value","output.kg.old","output.kg.new","maize.share","crop.count","beans","cash.crop","total.plot","inter.crop","seed.type","soh","aoh","hh.size","own.sh","rent.sh","plots","plot.missing","region","year","voucher"
1020030030479,"M1",4,26,1.0117141056,NA,NA,"Loam","Average","NO","NO","NO","Flat top","Owned","NO","YES","NO",0,NA,NA,0,"NO",0,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,1024055.55555556,380.555555555555,380555.555555555,1000,2690.94890510949,37.1616123257201,2,FALSE,FALSE,"YES","YES","TRADITIONAL","Male",28,4,16000,50000,1,"NO","Dodoma",2008,NA
1020170030001,"M1",0,357,3.23748513792,1.7357,0.5,"Loam","Average","NO","NO","NO","Flat bottom","Owned","NO","YES","NO",0,NA,NA,0,"NO",0,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",49,9,14573000,0,5,"YES","Dodoma",2008,NA
1020170030001,"M2",0,307,1.61874256896,1.73,0.6,"Loam","Average","NO","YES","NO","Slightly sloped","Owned","NO","YES","NO",0,NA,NA,0,"NO",0,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,148762.104214232,380.555555555555,54799.9999999999,144,390.907719103093,36.8373385745353,2,FALSE,FALSE,"YES","YES","TRADITIONAL","Male",49,9,14573000,0,5,"YES","Dodoma",2008,NA
1020170030001,"M3",0,310,1.21405692672,0.832699999999999,1.6,"Sandy","Average","NO","NO","NO","Slightly sloped","Owned","NO","YES","NO",0,NA,NA,0,"NO",0,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,85502.0568441268,380.555555555555,34249.9999999999,90,224.676937692596,40.0575158822657,2,FALSE,FALSE,"NO","NO","TRADITIONAL","Male",49,9,14573000,0,5,"YES","Dodoma",2008,NA
1020170030001,"M4",0,0,4.0468564224,2.5652,0.7,"Loam","Average","NO","NO","NO","Flat bottom","Owned","NO","NO",NA,0,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",49,9,14573000,0,5,"YES","Dodoma",2008,NA
1020170030001,"M5",0,0,3.23748513792,1.2132,0.6,"Loam","Average","NO","NO","NO","Slightly sloped","Owned","NO","NO",NA,0,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",49,9,14573000,0,5,"YES","Dodoma",2008,NA
1020170030017,"M1",0,34,1.21405692672,NA,NA,"Loam","Good","YES","YES","NO","Slightly sloped","Owned","NO","YES","NO",0,NA,NA,0,"NO",0,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,380.555555555555,164400,432,NA,NA,3,FALSE,FALSE,"YES","NO","TRADITIONAL","Female",48,3,9000,0,1,"NO","Dodoma",2008,NA
1020170030022,"M1",0,90,1.21405692672,NA,NA,"Loam","Average","NO","NO","NO","Slightly sloped","Owned","NO","YES","NO",0,NA,NA,0,"NO",0,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female",36,5,9000,0,2,"NO","Dodoma",2008,NA
1020170030022,"M2",0,41,0.80937128448,NA,NA,"Loam","Average","NO","NO","NO","Slightly sloped","Rented in",NA,"YES","NO",0,NA,NA,0,"NO",0,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,61649.9999999999,380.555555555555,61649.9999999999,162,162,100,1,FALSE,FALSE,"YES","NO","TRADITIONAL","Female",36,5,9000,0,2,"NO","Dodoma",2008,NA
1020170030048,"M1",9,101,4.0468564224,NA,NA,"Loam","Good","NO","NO","NO","Slightly sloped","Owned","NO","YES","NO",0,NA,NA,0,"NO",0,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",34,9,2267500,0,4,"YES","Dodoma",2008,NA
1020170030048,"M2",5,39,2.83279949568,NA,NA,"Sandy","Average","NO","NO","NO","Flat bottom","Owned","NO","YES","NO",0,NA,NA,0,"NO",0,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,297450,380.555555555555,287700,756,781.620437956204,96.7221381744831,2,FALSE,FALSE,"NO","YES","TRADITIONAL","Male",34,9,2267500,0,4,"YES","Dodoma",2008,NA
1020170030048,"M3",0,356,2.42811385344,NA,NA,"Loam","Good","NO","NO","NO","Slightly sloped","Rented in",NA,"YES","NO",0,NA,NA,0,"NO",0,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",34,9,2267500,0,4,"YES","Dodoma",2008,NA
1020170030048,"M4",0,0,4.0468564224,NA,NA,NA,NA,NA,NA,NA,NA,"Owned","NO","NO",NA,0,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",34,9,2267500,0,4,"YES","Dodoma",2008,NA
1020170030100,"M1",8,283,2.83279949568,NA,NA,"Loam","Average","YES","YES","NO","Slightly sloped","Owned","NO","YES","NO",0,NA,NA,0,"NO",0,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",43,5,42000,0,1,"NO","Dodoma",2008,NA
1020170030209,"M1",8,132,1.61874256896,NA,NA,"Loam","Average","NO","NO","NO","Flat bottom","Rented in",NA,"YES","NO",0,NA,NA,0,"NO",0,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",25,3,13000,0,1,"NO","Dodoma",2008,NA
1020170030241,"M1",31,129,4.0468564224,NA,NA,"Loam","Average","YES","NO","NO","Flat bottom","Owned","NO","YES","NO",0,NA,NA,0,"NO",0,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,1533427.77777778,380.555555555555,799166.666666665,2100,4029.44525547446,52.1163551520377,3,FALSE,FALSE,"NO","YES","TRADITIONAL","Male",31,6,11288000,91500,3,"NO","Dodoma",2008,NA
