"y2_hhid","plotnum","hir.lab.days","fam.lab.days","area.est","area.gps","plot.dist","main.crop","soil","soilq","eroscont","erosion","slope","irrigation","ownership","land.title","cultivate","org.fert","org.fert.kg","org.fert.price","pest","pest.type","pest.price","pest.kg","nitrogen.kg","phosphorous.kg","potassium.kg","voucher","plot.value","maize.price","maize.value","output.kg.old","output.kg.new","maize.share","crop.count","beans","cash.crop","total.plot","inter.crop","seed.type","soh","aoh","schl","hh.size","own.sh","rent.sh","plots","plot.missing","region","year"
1402008002017501,"M1",13,35,0.80937128448,0.667731881141663,0.9,11,"Loam","Average","NO","NO","Flat bottom","NO","Owned","NO","YES","NO",0,0,"NO",NA,0,0,0,0,0,NA,722592.796830621,494.096973233738,266812.365546219,540,1462.45137285792,36.9243046313899,4,FALSE,FALSE,"YES","YES","None purchased","Male",24,2005,4,147000,320000,2,"NO","Tabora",2010
1402008002017501,"M2",23,43,3.23748513792,3.2577223777771,2.8,50,"Loam","Good","NO","NO","Flat bottom","NO","Owned","NO","YES","NO",0,0,"YES","Herbicide",10000,4,0,0,0,NA,1370270.97442727,494.096973233738,373537.311764706,756,2773.28348210514,27.2601053905292,3,FALSE,TRUE,"NO","YES","None purchased","Male",24,2005,4,147000,320000,2,"NO","Tabora",2010
1402008002018801,"M1",4,37,1.21405692672,0.975293278694153,1.3,11,"Clay","Good","NO","NO","Flat bottom","NO","Owned","NO","YES","NO",0,0,"NO",NA,0,0,0,0,0,NA,NA,494.096973233738,NA,NA,NA,NA,2,FALSE,FALSE,"YES","YES","None purchased","Male",34,1991,6,56000,0,1,"NO","Tabora",2010
1402008002030001,"M1",0,164,1.61874256896,1.50138509273529,2.9,11,"Clay","Average","NO","NO","Flat top","NO","Owned","NO","YES","NO",0,0,"NO",NA,0,0,0,0,0,NA,1722337.40327931,494.096973233738,592916.367880486,1200,3485.82868663828,34.4250996785868,2,FALSE,TRUE,"NO","YES","None purchased","Male",53,1973,8,6238000,0,2,"NO","Tabora",2010
1402008002030001,"M2",0,245,2.42811385344,1.99105513095856,2.2,11,"Clay","Average","NO","NO","Flat top","NO","Owned","NO","YES","NO",0,0,"NO",NA,0,0,0,0,0,NA,1156929.17354667,494.096973233738,494096.973233738,1000,2341.50224797952,42.7076250241869,2,FALSE,FALSE,"NO","YES","None purchased","Male",53,1973,8,6238000,0,2,"NO","Tabora",2010
1402008002030004,"M1",0,166,1.61874256896,1.86155557632446,2,50,"Clay","Good","NO","NO","Flat bottom","NO","Owned","NO","YES","NO",0,0,"YES","Herbicide",9000,5,0,0,0,NA,856467.726609476,494.096973233738,197638.789293495,400,1733.40006720566,23.0760346424136,2,FALSE,TRUE,"NO","NO","None purchased","Male",22,2006,3,26000,0,1,"NO","Tabora",2010
1402008002032201,"M1",24,185,4.85622770688,6.25239849090576,1.4,11,"Loam","Good","NO","NO","Slightly sloped","NO","Owned","NO","YES","NO",0,0,"YES","Herbicide",10000,4,0,0,0,NA,2261116.6103583,494.096973233738,296458.183940243,600,4576.26080070856,13.1111408665149,6,FALSE,TRUE,"NO","NO","None purchased","Male",57,1969,12,14863000,0,2,"NO","Tabora",2010
1402008002032201,"M2",26,72,2.0234282112,1.78061842918396,2.5,11,"Loam","Good","NO","NO","Slightly sloped","NO","Owned","NO","YES","NO",0,0,"NO",NA,0,0,0,0,0,NA,730339.152421975,494.096973233738,395277.57858699,800,1478.12917703602,54.1224686197033,2,FALSE,TRUE,"YES","YES","None purchased","Male",57,1969,12,14863000,0,2,"NO","Tabora",2010
1402008002041101,"M1",0,252,1.61874256896,1.36783874034882,3,11,"Loam","Average","NO","NO","Flat bottom","NO","Owned","YES","YES","NO",0,0,"NO",NA,0,0,0,0,0,NA,340698.78711068,494.096973233738,197638.789293495,400,689.538300307515,58.0098306100779,2,FALSE,TRUE,"YES","YES","None purchased","Male",65,NA,15,40000,0,1,"NO","Tabora",2010
1402008002065201,"M1",0,52,0.40468564224,0.505857527256012,0,11,"Loam","Average","NO","NO","Flat bottom","NO","Owned","NO","YES","NO",0,0,"NO",NA,0,0,0,0,0,NA,106724.946218487,494.096973233738,106724.946218487,216,216,100,1,FALSE,FALSE,"YES","NO","TRADITIONAL","Male",46,1974,11,102000,10000,2,"NO","Tabora",2010
1402008002065201,"M2",0,167,1.82108539008,1.96272706985474,1.1,11,"Loam","Average","NO","NO","Flat bottom","NO","Owned","NO","YES","NO",0,0,"NO",NA,0,0,0,0,0,NA,823754.830531882,494.096973233738,373537.311764706,756,1667.19262646079,45.3456899941358,3,FALSE,TRUE,"NO","NO","TRADITIONAL","Male",46,1974,11,102000,10000,2,"NO","Tabora",2010
1402009002014801,"M1",0,126,0.80937128448,0.776997089385986,0,11,"Loam","Average","NO","NO","Flat bottom","NO","Owned","NO","YES","NO",0,0,"NO",NA,0,0,0,0,0,NA,148229.091970121,494.096973233738,148229.091970121,300,300,100,1,FALSE,FALSE,"YES","NO","None purchased","Male",69,NA,14,149000,0,3,"NO","Tabora",2010
1402009002014801,"M2",0,96,0.80937128448,0.295420795679092,0.5,50,"Loam","Average","NO","NO","Flat bottom","NO","Owned","NO","YES","NO",0,0,"NO",NA,0,0,0,0,0,NA,133175.09078212,494.096973233738,49409.6973233738,100,269.532294259006,37.1013055318356,2,FALSE,TRUE,"NO","YES","None purchased","Male",69,NA,14,149000,0,3,"NO","Tabora",2010
1402009002014801,"M3",0,102,1.21405692672,1.32737004756927,1.8,11,"Loam","Average","NO","NO","Flat bottom","NO","Owned","NO","YES","NO",0,0,"NO",NA,0,0,0,0,0,NA,211761.49818663,494.096973233738,98819.3946467476,200,428.582868663828,46.6654210009677,2,FALSE,TRUE,"NO","YES","None purchased","Male",69,NA,14,149000,0,3,"NO","Tabora",2010
